Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
3825,54,Female,Socks,Clothing,26,Georgia,M,Olive,Summer,,No,No,31,Credit Card,Quarterly
1277,51,Male,Skirt,Footwear,68,Wyoming,L,Turquoise,Spring,4.8,No,Yes,37,Bank Transfer,Weekly
372,27,Male,Shirt,Footwear,83,North Carolina,,Pink,Winter,3.2,Yes,Yes,47,PayPal,Monthly
2938,28,Female,Coat,Accessories,39,West Virginia,M,White,Spring,4.3,No,No,15,Credit Card,Weekly
3037,50,Female,Shirt,Clothing,58,Vermont,S,Violet,Spring,4.3,No,No,7,Venmo,Fortnightly
2244,56,Male,Hat,Clothing,21,Massachusetts,M,Teal,Winter,3.7,No,No,13,Debit Card,Annually
3116,26,Female,Backpack,Accessories,53,South Dakota,M,Charcoal,Fall,4.1,No,No,9,Bank Transfer,Bi-Weekly
2431,20,Male,Coat,Outerwear,100,North Dakota,XL,White,Summer,4.3,No,No,42,Cash,Quarterly
2450,26,Male,Hoodie,Outerwear,,Alabama,S,Violet,Fall,4.1,No,No,,Venmo,Fortnightly
1336,56,Male,Hat,Footwear,49,Nevada,M,Lavender,Fall,4.8,No,Yes,26,Credit Card,Weekly
574,58,Male,Shirt,Clothing,68,California,M,Charcoal,Summer,3.2,Yes,Yes,23,Credit Card,Bi-Weekly
3478,53,Female,Pants,Accessories,85,Kentucky,S,Teal,Spring,3.8,No,No,,Debit Card,Bi-Weekly
661,50,Male,T-shirt,Outerwear,,Montana,M,Olive,Fall,5,Yes,Yes,39,Credit Card,Quarterly
2072,69,Male,Boots,Outerwear,,South Carolina,,Yellow,Fall,,No,No,37,PayPal,Quarterly
2379,26,Male,Skirt,Accessories,71,New Hampshire,L,Teal,Summer,2.7,No,No,37,PayPal,Bi-Weekly
2951,22,Female,Coat,Clothing,91,Iowa,S,Maroon,Winter,4.1,No,No,44,Debit Card,Every 3 Months
405,35,Male,Coat,Clothing,,Delaware,M,Indigo,Spring,,Yes,Yes,11,Credit Card,Monthly
3750,24,Female,Backpack,Clothing,95,Alaska,L,Yellow,Winter,2.9,No,No,38,Venmo,Every 3 Months
3600,37,Female,Handbag,Accessories,34,Kansas,S,Peach,Spring,4.6,No,No,4,Cash,Weekly
2343,20,Male,Jacket,Clothing,89,Tennessee,M,Olive,Fall,4.9,No,No,,Debit Card,Fortnightly
2300,64,Male,Shorts,Outerwear,57,Idaho,M,Violet,Summer,,No,No,,Credit Card,Every 3 Months
1145,41,Male,Sunglasses,Clothing,54,South Carolina,S,Indigo,Fall,4.4,No,Yes,25,Bank Transfer,Fortnightly
134,52,Male,Sunglasses,Clothing,,Montana,M,Violet,Winter,2.5,Yes,Yes,25,Venmo,Annually
95,58,Male,Blouse,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Yes,28,Credit Card,Weekly
3336,44,Female,Sweater,Accessories,94,Texas,XL,Cyan,Winter,3.5,No,No,48,Bank Transfer,Quarterly
1206,52,Male,Shirt,Accessories,99,California,M,Olive,Spring,3.5,No,Yes,38,Bank Transfer,Fortnightly
2792,43,Female,Sweater,Accessories,60,Iowa,M,Yellow,Fall,2.8,No,No,14,Venmo,Fortnightly
3590,31,Female,Sunglasses,Accessories,,New Hampshire,M,Blue,Spring,4.8,No,No,38,Cash,Every 3 Months
805,43,Male,Socks,Footwear,47,Mississippi,M,Maroon,Summer,2.6,Yes,Yes,28,Venmo,Quarterly
428,58,Male,Hoodie,Accessories,,Illinois,L,Black,Winter,,Yes,Yes,6,Credit Card,Quarterly
3491,62,Female,T-shirt,Footwear,82,Oregon,M,Violet,Spring,3.6,No,No,43,Credit Card,Quarterly
2981,70,Female,Shirt,Accessories,93,New Jersey,L,Teal,Fall,,No,No,9,Bank Transfer,Monthly
2453,68,Male,Blouse,Clothing,67,New York,L,Purple,Winter,,No,No,45,Bank Transfer,Every 3 Months
1395,26,Male,Blouse,Outerwear,43,Iowa,L,Magenta,Fall,4.7,No,Yes,39,Cash,Weekly
2706,65,Female,Sandals,Outerwear,,Washington,S,Turquoise,Spring,5,No,No,1,Credit Card,Bi-Weekly
1427,60,Male,Pants,Clothing,,Michigan,M,Yellow,Summer,4.8,No,Yes,35,PayPal,Every 3 Months
2378,44,Male,Shirt,Clothing,,South Dakota,L,Magenta,Fall,4,No,No,22,Cash,Annually
3086,24,Female,Hoodie,Clothing,50,Nevada,L,Gray,Winter,2.8,No,No,10,Venmo,Every 3 Months
2146,38,Male,Scarf,Clothing,73,Connecticut,S,White,Winter,4.8,No,No,32,PayPal,Annually
1726,45,Male,Sweater,Accessories,33,Massachusetts,M,Indigo,Spring,3,No,No,,Venmo,Quarterly
1055,18,Male,Dress,Clothing,96,Arkansas,L,Cyan,Winter,4.9,No,Yes,,PayPal,Quarterly
3114,46,Female,Backpack,Clothing,93,Nebraska,L,Green,Summer,,No,No,2,Debit Card,Weekly
686,70,Male,Jeans,Clothing,71,Massachusetts,XL,Magenta,Winter,3.5,Yes,Yes,32,Cash,Fortnightly
1707,37,Male,Shoes,Accessories,87,North Dakota,M,Brown,Spring,3,No,No,25,Venmo,Fortnightly
815,31,Male,Coat,Clothing,,Minnesota,M,Pink,Winter,,Yes,Yes,8,PayPal,Monthly
1404,26,Male,Sandals,Accessories,20,Georgia,,Peach,Spring,3.6,No,Yes,20,Credit Card,Bi-Weekly
1526,29,Male,Socks,Accessories,31,Oregon,M,Indigo,Winter,4.6,No,Yes,22,Cash,Fortnightly
2771,50,Female,Handbag,Footwear,44,Nebraska,S,Blue,Fall,3.3,No,No,22,Bank Transfer,Quarterly
3829,42,Female,Blouse,Clothing,82,Mississippi,M,Charcoal,Spring,,No,No,8,Cash,Weekly
1512,34,Male,Blouse,Clothing,91,Georgia,M,Violet,Winter,,No,Yes,48,Credit Card,Weekly
3483,66,Female,Backpack,Accessories,61,Hawaii,,Gold,Winter,3.9,No,No,35,Debit Card,Weekly
3317,42,Female,Backpack,Clothing,,New Mexico,M,Olive,Summer,3.1,No,No,5,Debit Card,Fortnightly
2505,56,Male,Jacket,Clothing,94,Rhode Island,M,Turquoise,Winter,4,No,No,,Cash,Bi-Weekly
863,19,Male,Scarf,Outerwear,84,Arkansas,M,Charcoal,Winter,4.9,Yes,Yes,,PayPal,Fortnightly
571,65,Male,Jewelry,Clothing,99,Iowa,XL,Purple,Fall,,Yes,Yes,20,Cash,Annually
672,38,Male,Hat,Outerwear,30,Iowa,L,Black,Winter,4.7,Yes,Yes,45,Cash,Weekly
170,27,Male,Belt,Outerwear,30,Nevada,,Gold,Summer,3.3,Yes,Yes,3,PayPal,Every 3 Months
419,18,Male,Scarf,Clothing,,Illinois,L,Purple,Spring,3,Yes,Yes,,Venmo,Bi-Weekly
2143,47,Male,Sweater,Accessories,39,North Dakota,M,Maroon,Winter,4.3,No,No,21,Venmo,Quarterly
2006,18,Male,Sunglasses,Footwear,82,Tennessee,M,Cyan,Winter,3.4,No,No,30,PayPal,Fortnightly
3210,64,Female,Boots,Footwear,31,Arkansas,L,Peach,Fall,4.3,No,No,39,Debit Card,Annually
2007,58,Male,Pants,Accessories,97,New Mexico,S,Pink,Fall,4.4,No,No,2,Credit Card,Annually
597,23,Male,Backpack,Footwear,37,Montana,,White,Summer,4.5,Yes,Yes,36,Venmo,Annually
1631,63,Male,Shoes,Footwear,48,New Jersey,M,Gold,Summer,2.9,No,Yes,29,Venmo,Every 3 Months
677,28,Male,Jacket,Clothing,60,Connecticut,M,Peach,Winter,,Yes,Yes,38,Venmo,Bi-Weekly
1158,37,Male,Pants,Accessories,66,Maryland,,Charcoal,Fall,4.4,No,Yes,,Cash,Quarterly
724,35,Male,Shirt,Accessories,53,Missouri,L,Cyan,Fall,3.5,Yes,Yes,,PayPal,Monthly
2563,57,Male,Blouse,Clothing,62,Arizona,XL,Yellow,Spring,4.7,No,No,27,Cash,Fortnightly
3097,69,Female,Shoes,Clothing,,Kansas,L,White,Winter,3.5,No,No,20,Bank Transfer,Monthly
2999,31,Female,Jacket,Clothing,53,Alaska,M,Red,Summer,,No,No,30,Debit Card,Quarterly
420,53,Male,Shorts,Clothing,,Utah,S,Teal,Winter,3.5,Yes,Yes,,Credit Card,Every 3 Months
3179,66,Female,Boots,Footwear,34,Washington,L,Beige,Spring,2.7,No,No,28,Credit Card,Annually
579,69,Male,Gloves,Footwear,90,Maine,M,Purple,Fall,4.6,Yes,Yes,22,Credit Card,Fortnightly
3593,61,Female,Sunglasses,Footwear,82,New Jersey,L,Lavender,Spring,4.4,No,No,18,Venmo,Fortnightly
1763,36,Male,Scarf,Footwear,42,Idaho,M,Brown,Summer,,No,No,41,Bank Transfer,Fortnightly
117,55,Male,Shirt,Footwear,86,Virginia,S,Blue,Spring,,Yes,Yes,,Venmo,Annually
3686,47,Female,Blouse,Clothing,42,Tennessee,L,Red,Summer,2.6,No,No,17,Cash,Bi-Weekly
861,26,Male,Coat,Footwear,87,South Carolina,M,Maroon,Spring,4.1,Yes,Yes,,Cash,Monthly
1737,57,Male,Jewelry,Clothing,,Tennessee,M,Purple,Summer,2.6,No,No,43,Cash,Quarterly
1719,54,Male,Jewelry,Clothing,96,Maryland,L,Pink,Winter,3.4,No,No,14,PayPal,Every 3 Months
641,53,Male,Jeans,Clothing,88,Minnesota,M,Gray,Summer,,Yes,Yes,28,Debit Card,Fortnightly
2689,53,Female,Socks,Accessories,63,West Virginia,,Turquoise,Spring,,No,No,,Credit Card,Every 3 Months
2867,54,Female,Blouse,Clothing,75,Connecticut,,Violet,Summer,3.1,No,No,19,Cash,Annually
3547,60,Female,Shoes,Accessories,79,Kansas,M,Violet,Summer,3.6,No,No,37,Bank Transfer,Bi-Weekly
80,38,Male,Sneakers,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,Yes,43,Bank Transfer,Every 3 Months
3732,54,Female,Coat,Accessories,62,West Virginia,M,Lavender,Spring,3.1,No,No,45,PayPal,Quarterly
1979,45,Male,Hoodie,Accessories,78,Massachusetts,L,Magenta,Spring,3.8,No,No,1,Cash,Quarterly
3359,56,Female,Socks,Clothing,59,Tennessee,,Magenta,Fall,,No,No,26,Cash,Annually
1229,55,Male,Pants,Outerwear,55,Indiana,S,Yellow,Winter,,No,Yes,1,Cash,Annually
3569,29,Female,Sunglasses,Footwear,71,Arkansas,M,Purple,Spring,4.8,No,No,,PayPal,Quarterly
3117,50,Female,Sweater,Outerwear,66,Montana,L,Gray,Spring,3.7,No,No,1,Venmo,Weekly
1688,67,Male,Dress,Clothing,70,Georgia,S,Magenta,Winter,3.7,No,No,4,PayPal,Annually
3583,23,Female,Blouse,Clothing,,California,S,Beige,Summer,,No,No,15,PayPal,Annually
2757,42,Female,Sunglasses,Accessories,23,Minnesota,L,Violet,Winter,,No,No,41,PayPal,Monthly
383,28,Male,Skirt,Clothing,76,California,,Peach,Winter,3.2,Yes,Yes,47,PayPal,Quarterly
1150,21,Male,Socks,Accessories,42,Georgia,L,Cyan,Spring,3.3,No,Yes,40,Venmo,Annually
1975,27,Male,Blouse,Accessories,,Tennessee,M,Peach,Winter,4.6,No,No,2,PayPal,Fortnightly
3367,38,Female,Shoes,Accessories,65,North Carolina,M,Red,Spring,3.6,No,No,47,Debit Card,Quarterly
3499,47,Female,T-shirt,Footwear,35,Kentucky,M,Lavender,Summer,,No,No,,Bank Transfer,Bi-Weekly
2001,26,Male,Skirt,Accessories,27,California,M,Lavender,Winter,3.6,No,No,25,Cash,Bi-Weekly
913,24,Male,Dress,Clothing,56,Arkansas,M,Green,Winter,3.4,Yes,Yes,32,Bank Transfer,Monthly
1445,32,Male,Coat,Clothing,36,Vermont,L,Pink,Fall,3.8,No,Yes,26,Cash,Quarterly
988,62,Male,Dress,Accessories,47,West Virginia,M,Charcoal,Summer,2.8,Yes,Yes,48,PayPal,Weekly
2071,56,Male,Blouse,Accessories,88,Nebraska,,Red,Spring,3.1,No,No,14,Cash,Monthly
2712,30,Female,Dress,Accessories,22,Nebraska,L,Red,Spring,4,No,No,50,Venmo,Monthly
1690,32,Male,Jacket,Clothing,73,North Carolina,L,Turquoise,Winter,4.6,No,No,32,Bank Transfer,Monthly
710,49,Male,Shirt,Outerwear,,Massachusetts,L,Charcoal,Summer,4.6,Yes,Yes,23,Debit Card,Monthly
2859,34,Female,Pants,Clothing,87,Maryland,L,Teal,Summer,3.8,No,No,46,Bank Transfer,Monthly
313,38,Male,Handbag,Clothing,89,Massachusetts,L,Green,Spring,3.4,Yes,Yes,6,PayPal,Annually
1501,63,Male,Sunglasses,Clothing,69,Alabama,L,Maroon,Summer,,No,Yes,22,Debit Card,Monthly
929,67,Male,Skirt,Clothing,37,Arkansas,XL,Yellow,Winter,,Yes,Yes,31,Cash,Every 3 Months
1342,26,Male,Sandals,Clothing,27,Rhode Island,XL,Yellow,Fall,,No,Yes,,Bank Transfer,Quarterly
3790,56,Female,Belt,Clothing,,North Dakota,M,Magenta,Summer,3.8,No,No,,Bank Transfer,Every 3 Months
3474,63,Female,Socks,Clothing,40,Kansas,M,Cyan,Spring,2.5,No,No,11,Cash,Weekly
779,29,Male,Belt,Clothing,50,Massachusetts,M,Yellow,Summer,2.9,Yes,Yes,23,Debit Card,Annually
386,67,Male,Sandals,Clothing,93,West Virginia,,Yellow,Fall,,Yes,Yes,12,Credit Card,Bi-Weekly
1506,46,Male,Shirt,Accessories,20,North Dakota,M,Teal,Summer,3,No,Yes,,Cash,Monthly
1087,53,Male,Skirt,Accessories,62,Alaska,M,Olive,Winter,,No,Yes,27,PayPal,Bi-Weekly
2188,37,Male,Shoes,Clothing,,Idaho,M,Violet,Spring,4.4,No,No,20,PayPal,Annually
3502,53,Female,Hat,Footwear,87,Nebraska,M,Silver,Fall,4.8,No,No,43,Bank Transfer,Weekly
3441,45,Female,Scarf,Accessories,63,Maryland,L,Magenta,Fall,4.3,No,No,,PayPal,Weekly
484,23,Male,Dress,Clothing,,Oklahoma,M,White,Fall,3.9,Yes,Yes,12,Debit Card,Weekly
2269,66,Male,T-shirt,Clothing,26,Georgia,L,Charcoal,Spring,2.7,No,No,,Bank Transfer,Monthly
2264,44,Male,Sandals,Accessories,40,Indiana,,Green,Winter,,No,No,42,Cash,Quarterly
3463,44,Female,Jewelry,Clothing,73,Michigan,L,Olive,Spring,4.5,No,No,34,Credit Card,Every 3 Months
3770,51,Female,Coat,Accessories,87,Arizona,L,Green,Summer,3.6,No,No,31,Venmo,Annually
3712,69,Female,Gloves,Accessories,62,Texas,XL,Peach,Fall,3.2,No,No,33,Cash,Annually
177,53,Male,Shoes,Accessories,81,New Hampshire,L,Black,Spring,2.7,Yes,Yes,30,Credit Card,Quarterly
1275,54,Male,Boots,Accessories,73,Missouri,M,Olive,Spring,3.1,No,Yes,37,PayPal,Quarterly
1013,28,Male,Shoes,Footwear,37,New Mexico,L,Teal,Summer,3.8,Yes,Yes,27,Credit Card,Annually
2655,23,Female,Sweater,Outerwear,70,Idaho,S,Pink,Fall,4.1,No,No,4,PayPal,Annually
3316,48,Female,Belt,Accessories,68,Kentucky,S,Gold,Summer,2.9,No,No,4,PayPal,Every 3 Months
48,55,Male,Gloves,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Yes,36,Cash,Weekly
2539,18,Male,Shirt,Accessories,32,New Jersey,M,Silver,Summer,4.2,No,No,33,Credit Card,Bi-Weekly
767,57,Male,Jeans,Accessories,48,Nevada,M,Cyan,Winter,3.6,Yes,Yes,13,PayPal,Monthly
